,title,date,category,venue,venue_url,address,access_url,area,closest_station,advance_price,door_price
4587,"FUJI ROCK FESTIVAL w/ Weezer, Röyksopp, Animal Collective, Basement Jaxx, more",2009-07-26,Festival,Naeba Ski Resort,http://en.wikipedia.org/wiki/Naeba_Ski_Resort,"Mount Takenoko, Echigo Yuzawa, Niigata",,Naeba,Echigo Yuzawa,,
2836,"FUJISAWA ROCK FESTIVAL w/ HOSE, ju sei, core of bells",2010-08-22,Other,CLAJA,http://www6.ocn.ne.jp/~claja/,Fujisawa Honmachi 3-8-21,,Fujisawa,Fujisawa-Honmachi,,1500yen +1food&1drink
357,GFB`11 (Tsukuba Rock Festival),2011-07-16,Festival,,,,,,,"1 day 3900, 2 days 6900",
363,GFB`11 (Tsukuba Rock Festival),2011-07-17,Festival,,,,,,,"1 day 3900, 2 days 6900",
27,GIGAModular Festival,2017-02-26,"Electronic,Experimental",Goodman,http://www.clubgoodman.com,"A.S Building B1F, 55, Kanda-Sakumagashi, Chiyodaku",http://www.clubgoodman.com/access.html,Akihabara,Akihabara,3000,3500
2110,GREEN ROOM FESTIVAL,2010-05-22,Festival,,,,,,,,
2117,GREEN ROOM FESTIVAL,2010-05-23,Festival,,,,,,,,
112,GREENROOM FESTIVAL,2011-05-21,Festival,,,,,,,,
159,GREENROOM FESTIVAL,2011-05-22,Festival,,,,,,,,
9527,GREENROOM FESTIVAL,2012-05-19,Festival,,,,,,,"1 day 7300, 2 days 13000",
9564,GREENROOM FESTIVAL,2012-05-20,Festival,,,,,,,"1 day 7300, 2 days 13000",
7910,GREENROOM FESTIVAL,2013-05-18,Festival,,,,,,,"1 day 9000, 2 days 16000",
7919,GREENROOM FESTIVAL,2013-05-19,Festival,,,,,,,"1 day 9000, 2 days 16000",
3482,GREENROOM FESTIVAL,2016-05-21,Festival,,,,,,,,
3497,GREENROOM FESTIVAL,2016-05-22,Festival,,,,,,,,
713,GREENROOM FESTIVAL,2017-05-20,Festival,Red Brick Warehouse,http://www.yokohama-akarenga.jp/,"1-1 Shinko, Naka-ku, Yokohama 231-0001",,Yokohama,"Bashamichi, Nihon-Oodori, Minatomirai, Sakuragicho, Kannai",,
753,GREENROOM FESTIVAL,2017-05-21,Festival,Red Brick Warehouse,http://www.yokohama-akarenga.jp/,"1-1 Shinko, Naka-ku, Yokohama 231-0001",,Yokohama,"Bashamichi, Nihon-Oodori, Minatomirai, Sakuragicho, Kannai",,
5675,GREENROOM FESTIVAL '14,2014-05-24,Festival,,,,,,,,
5684,GREENROOM FESTIVAL '14,2014-05-25,Festival,,,,,,,,
5410,GREENROOM FESTIVAL '15,2015-05-23,Festival,,,,,,,,
5440,GREENROOM FESTIVAL '15,2015-05-24,Festival,,,,,,,,
642,GURU GURU MAWARU FESTIVAL @ SAITAMA STADIUM 2002,2011-09-24,Festival,,,,,,,3000yen,4000yen
10027,GURUGURUMAWARU FESTIVAL,2012-09-16,Festival,,,,,,,3500yen,4500yen
10360,Gianni Gebbia- Sonoda Ikumi- Zen Master Eon Asahina + movie @ Zen trailer film festival Kitakamakura,2011-12-11,Avant garde,,,,,,,,
3290,Global Culture Exchange Festival,2009-10-31,Festival,,,,,,,,
2324,Guru Guru Mawaru Festival 2010 @ Saitama Stadium 2002,2010-06-26,Festival,,,,,,,"¥3,200","¥4,000"
7697,"HACIENDA OISO FESTIVAL: DIGITALISM, JOHN DIGWEED, 808STATE, JAMES ZABIELA, more",2013-04-27,Festival,,,,,,,"1 day 8900, 2 days 16000",11000
7729,"HACIENDA OISO FESTIVAL: HAPPY MONDAYS, PETER HOOK, SUGIURUMN, more",2013-04-28,Festival,,,,,,,"1 day 8900, 2 days 16000",11000
826,HERBESTA FESTIVAL '11,2011-10-21,Festival,,,,,,,,Free
828,HERBESTA FESTIVAL '11,2011-10-22,Festival,,,,,,,,Free
839,HERBESTA FESTIVAL '11,2011-10-23,Festival,,,,,,,,Free
