title,date,category,venue,venue_url,address,access_url,area,closest_station,advance_price,door_price
PFM (Premiata Forneria Marconi),2014-05-30,Progressive,Tokyo Dome City Hall,http://www.meetsport.jp/hall,"Meets Port, Tokyo Dome City",,Suidobashi,,9800,
"808, みつを",2014-05-30,All Mix,Stax Fred,http://staxfred.com,"Maruyama House B1F, 1-7-1 Umesato, Suginami-ku",,Shin-Koenji,,,"¥2,500 ＋ drink"
"BUDDY GIRL and MECHANIC, SOSITE, The Paellas, DJ Ian Martin, Dai Ogasawara, more",2014-05-30,Indie,UFO Club,http://www.ufoclub.jp,"Harmony Hills B1F 1-11-6 Koenji-Minami,Suginami-ku",http://www.ufoclub.jp/access/,Higashi-Koenji,Higashi-Koenji,2000,2300
"Chiba International Party Vol. 2: Albion's Gambit, Amica-rration, Aeronauts",2014-05-30,Indie-Rock,Anga,http://www.anga-hp.com,"Fujimi 2-16-4-B1F, Chuo-ku, Chiba",http://anga-hp.com/info/,Chiba,"Chiba, Keisei-Chiba, Yoshikawa-koen, Chiba-chuo",1000 yen (+1D),1000 yen (+1D)
"BULLS with Kojun SATO, Cal Lyall+Yoshio Machida",2014-05-30,Experimental,Knuttel House,http://www.knuttelhouse.com/,"4-1-8 Matsugaya, Taito-ku, Tokyo",,Iriya,"Iriya, Uguisudani, Asakusa, Tawaramachi",,¥2000
"NRYY, L'eclipse Nue, Ken's Band, Darklaw, FACIALMESS, TORIAZORAMU",2014-06-29,Experimental,Suizokkan,http://naks.biz/suizokukan/,"1-10-7-B1 Hyakuninchou,Shinjuku-ku, Tokyo",http://naks.biz/suizokukan/map/index.html,Shin-Okubo,Near Shin-Okubo station (JR Yamanote Line),,"1,000 yen + 500 yen drink charge"
"dj sniff, DJ CarHouse aka Yoshihide Otomo, Jyunji Hirose, mn (T.Mikawa + Jun Numata), more",2014-06-29,Experimental,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,2500,3000
"Tomohiko Chikuwa, Sho Nakamura, Minato Matsuura",2014-06-29,Mixed Genre,Koenji U-hA,http://coffeeuha.web.fc2.com/,"Ems Bldg. 4-4-12 Koenji-minami, Suginami-ku, Tokyo",http://coffeeuha.web.fc2.com/access.html,Koenji,Koenji,,1500yen＋1d (500yen)
"car10, New House, Pink Politics, Super VHS, Teen Runnings, Ykiki Beat",2014-06-29,Indie,Three,http://www.toos.co.jp/3/index.html,"Kitazawa 5-18-1 B1F, Setagaya-ku, Tokyo",http://www.toos.co.jp/3/3_access.html,Shimokitazawa,"Shimokitazawa, Setagaya-Daita",2000,2500
"AKN, Biology of the Future, Straytone, Steel Music, Cal Lyall, 森重靖宗, Human Wife",2014-06-29,Avant-pop,Gari Gari,http://www.cinemabokan.com,"Tobita Bldg B1, Daizawa 2-45-9 , Setagaya-ku",,Ikenoue,Ikenoue,,1000¥
"Peanut Butter Wolf, Stones Throw Records, DJ AFRA",2014-06-30,Hip-Hop,WWW,http://www-shibuya.jp/index.html,東京都渋谷区宇田川町13-17 ライズビル地下,http://www-shibuya.jp/access/,Shibuya,Shibuya,2000,
BIANCA GISMONTI TRIO,2014-06-30,Jazz,Cotton Club,http://www.cottonclubjapan.co.jp,"TOKIA 2F, TOKYO Bldg, 2-7-3 Marunouchi, Chiyoda-ku",http://www.cottonclubjapan.co.jp/en/access/,Tokyo,"Tokyo, Yurakucho","￥5,500","￥5,500"
VINCE JONES,2014-07-01,Jazz,Cotton Club,http://www.cottonclubjapan.co.jp,"TOKIA 2F, TOKYO Bldg, 2-7-3 Marunouchi, Chiyoda-ku",http://www.cottonclubjapan.co.jp/en/access/,Tokyo,"Tokyo, Yurakucho","￥7,000","￥7,000"
"Lucy's Crown (Australia), まぜたらうまい, THE SOLISH, ムショク, Growing Care Unit",2014-07-01,Rock,ReG,http://www.reg-r2.com,"Daizawa 5-30-10, Setagaya-ku, Tokyo",,Shimokitazawa,Shimokitazawa,2000,2500
VINCE JONES,2014-07-02,Jazz,Cotton Club,http://www.cottonclubjapan.co.jp,"TOKIA 2F, TOKYO Bldg, 2-7-3 Marunouchi, Chiyoda-ku",http://www.cottonclubjapan.co.jp/en/access/,Tokyo,"Tokyo, Yurakucho","￥7,000","￥7,000"
"Lucy's Crown (Australia), Jill, 101A, カイモクジショウ, 心音Maker, enn",2014-07-02,Rock,Live Freak,http://www.live-freak.com,"Accord Shinjuku B1F, 2-12-4 Shinjuku",,Shinjuku,,2000,2500
VINCE JONES,2014-07-03,Jazz,Cotton Club,http://www.cottonclubjapan.co.jp,"TOKIA 2F, TOKYO Bldg, 2-7-3 Marunouchi, Chiyoda-ku",http://www.cottonclubjapan.co.jp/en/access/,Tokyo,"Tokyo, Yurakucho","￥7,000","￥7,000"
"Daisuke Okochi, Gurupari, Chizuru Oki, Kaoru Oishi",2014-07-03,Mixed Genre,Koenji U-hA,http://coffeeuha.web.fc2.com/,"Ems Bldg. 4-4-12 Koenji-minami, Suginami-ku, Tokyo",http://coffeeuha.web.fc2.com/access.html,Koenji,Koenji,,1500yen＋1d (500yen)
"birds melt sky, The Mammals, Senkawos",2014-07-03,Alternative,Fever,http://www.fever-popo.com,"Shin-daita building 1F, 1-1-14 Hanegi, Setagaya-ku",http://www.fever-popo.com/access/,Shimokitazawa,Shindaita,2300,2500
"Lucys Crown (Australia), Daisy Roxx, 閃光ブルー, アズアン, GYPSY CANDLE, 整体マッサージ・ヤグチトモノリ",2014-07-03,Rock,Outbreak,http://www.hor-outbreak.com,"B1, 2-10 Yotsuya, Shinjuku-ku, Tokyo",http://www.hor-outbreak.com/access.html,Yotsuya,"Yotsuya, Yotsuya sanchome",1500,2000
