title,date,category,venue,venue_url,address,access_url,area,closest_station,advance_price,door_price
"otori, The Taupe, hi-lights, 純情マゼラン",2019-04-07,"Alternative,Indie-Rock,New Wave,Post-Punk,Noise Rock",Daisy Bar,http://www.daisybar.jp,"Elsanto Kitazawa B1, Kitazawa 2-2-3, Setagaya-ku",http://www.daisybar.jp/access/index.html,Shimokitazawa,Shimokitazawa,2500,3000す
"Taku Kikima, Tomoko Shimazaki",2019-04-07,"Acoustic,Indie",Koenji U-hA,http://coffeeuha.web.fc2.com/,"Ems Bldg. 4-4-12 Koenji-minami, Suginami-ku, Tokyo",http://coffeeuha.web.fc2.com/access.html,Koenji,Koenji,,2500 + drink (500)
"James Macaulay (trombone), Marty Holoubek (bass), 吉田つぶら (tap), 栗林すみれ (piano) ",2019-04-07,Jazz,Apollo,http://ameblo.jp/430416apollo/,"B1 2-9-22 Kitazawa, Setagaya-ku",http://ameblo.jp/430416apollo/entry-12101940478.html,Shimokitazawa,Shimokitazawa,,"Tip for musicians ¥1,000~ + drink order, bar charge (¥800)"
"MEAT EATERS, URBAN-Feti, Doburoku, Food: Kishipang",2019-04-08,"Alternative,Emo,Hip-Hop,Indie-Rock",Wild Side Tokyo,http://ws-tokyo.com/,"B1, 1-34-13 Shinjuku, Shinjuku-ku, Tokyo",,Shinjuku,"Shinjuku Gyoenmae, Shinjuku","￥2,500 + 1D￥500","￥3,000 + 1D￥500"
SEVDALIZA,2019-04-08,"Avant-pop,Electronic",Spiral Hall,http://www.spiral.co.jp/s_rental/hall/,"Spiral 3F, 5-6-23 Minami-Aoyama, Minato-ku, Tokyo",http://www.spiral.co.jp/a_map/,Aoyama,Omotesando,2500,
"Kaori Yoshimura, aro, Itomatoayako",2019-04-08,"Acoustic,Indie,Pop",Koenji U-hA,http://coffeeuha.web.fc2.com/,"Ems Bldg. 4-4-12 Koenji-minami, Suginami-ku, Tokyo",http://coffeeuha.web.fc2.com/access.html,Koenji,Koenji,,2500 + drink (500)
Free Form Jam,2019-04-08,"Improvised,Jam",Buddy,http://www.buddy-tokyo.com,Nerima Asahigaoka 1-77-8 Futaba Hall B2F,http://www.buddy-tokyo.com/map_m.html,Ekoda,Ekoda,¥500 + 2 drink order,¥500 + 2 drink order
Naoyasu Takahashi,2019-04-08,"Ambient,Avant garde,Experimental,Improvised",Flying Teapot,http://flyingteapot1997.wixsite.com/ekoda-flying-teapot,"Enomoto Bldg B1F, 27-7 Sakae-cho, Nerima-ku",,Ekoda,Ekoda,,1500 yen (+ 1d)
"Fraudband + Paul Kidney + Masami Kawaguchi & Doronco, 20 GUILDERS, ANTENA IN YOU2, Sekishoku 102 Go",2019-04-09,"Alternative,Indie-Rock,Psychedelic,Psych-Folk",UFO Club,http://www.ufoclub.jp,"Harmony Hills B1F 1-11-6 Koenji-Minami,Suginami-ku",http://www.ufoclub.jp/access/,Higashi-Koenji,Higashi-Koenji,¥2300 + 1d,¥2500 + 1d
"tetote, ",2019-04-09,"Acoustic,Pop",Koenji U-hA,http://coffeeuha.web.fc2.com/,"Ems Bldg. 4-4-12 Koenji-minami, Suginami-ku, Tokyo",http://coffeeuha.web.fc2.com/access.html,Koenji,Koenji,,2000 + drink (500)
"meDag., gloptin, be-color, 10,1000 (Ten-sen), Dosanko-AnareＸ",2019-04-09,"Alternative,Hardcore,Noise Rock,Progressive",Wild Side Tokyo,http://ws-tokyo.com/,"B1, 1-34-13 Shinjuku, Shinjuku-ku, Tokyo",,Shinjuku,"Shinjuku Gyoenmae, Shinjuku","￥2,000 + 1D￥500","￥2,500 + 1D￥500"
"古谷淳 (pf), 西口明宏 (sax), 千北祐輔 (bass), 服部正嗣 (ds)",2019-04-09,Jazz,Apollo,http://ameblo.jp/430416apollo/,"B1 2-9-22 Kitazawa, Setagaya-ku",http://ameblo.jp/430416apollo/entry-12101940478.html,Shimokitazawa,Shimokitazawa,,"Tip for musicians ¥1,000~ + drink order, bar charge (¥800)"
Just Right Band Session Night,2019-04-10,"Blues,Funk,Jam,Open Mic,Soul","Love, Peace and Soul Live Cafe",http://www.lovepeaceandsoul.net,"Parfum Kyodo B1-C 1-5-6 Kyodo, Setagaya-ku, Tokyo",,Kyodo,Kyodo Station (Odakyu Line),,"¥1,500 + 1 Drink Minimum"
"鳴らした場合 (narashitabaai), 山内弘太, Takahashi Masahiro",2019-04-10,Psychedelic,7th Floor,http://7th-floor.net/,"O-West Bldg 7F 2-3 Maruyama-Cho, Shibuya-Ku",http://7th-floor.net/blocks/index/001,Shibuya,Shibuya,¥2.000,¥2.300
Enzo Favata Crossing Quartet,2019-04-10,"Electronic,Free Jazz,Instrumental,Jazz,Rock",Jirokichi,http://www.jirokichi.net,"Koenji Bldg B1, 2-3-4 Koenji-kita",http://jirokichi.net/access/,Koenji,Koenji,3500,4000
"ENCROACHED, NOT IT? YEAH!",2019-04-10,"Hardcore,DJ,Punk",Pit Bar,http://ameblo.jp/pitbar,"3-14-10 B1F Nishiogi Minami, Suginami-ku",,Nishi-Ogikubo,Nishi-Ogikubo,,FREE
"RED BULL MUSIC FESTIVAL TOKYO & 88RISING PRESENT JAPAN RISING: AUGUST 08, AWICH, CIRRRCLE, more",2019-04-10,Hip-Hop,WWW X,http://www-shibuya.jp/wwwx/,"2F Rise Bldg, 13-17 Udagawacho, Shibuya-ku",,Shibuya,Shibuya,2000,2500
"Paris death Hilton, Tropical Death, Mammoth",2019-04-11,"Electronic,Electronic Rock,Experimental,Indie-Rock,Noise",Nepo,https://nepo.co.jp/,"B1, 1-17-4, Shimorenjaku, Mitaka, Tokyo",https://nepo.co.jp/pages/access/,Kichijoji,"Mitaka, Kichijoji, Inokashira-koen",2000,2500
"YOSHIMIO, SAICOBAB",2019-04-11,"Experimental,Improvised,Other",,,,,,,2500,
